File: durak-api
Build ID: 3f6237606f6f1cc77e5dab4717b939f022a7c3ca
Type: cpu
Time: 2026-02-19 16:51:13 MSK
Duration: 25s, Total samples = 55.63s (222.51%)
Showing nodes accounting for 45.12s, 81.11% of 55.63s total
Dropped 754 nodes (cum <= 0.28s)
      flat  flat%   sum%        cum   cum%
         0     0% 81.11%      0.46s  0.83%  durakonline/backend/internal/ws.(*Bus).Publish
         0     0% 81.11%     24.10s 43.32%  durakonline/backend/internal/ws.(*Handler).broadcast
         0     0% 81.11%     44.76s 80.46%  durakonline/backend/pkg/metrics.HTTPMiddleware.func1
         0     0% 81.11%      0.84s  1.51%  encoding/json.(*encodeState).marshal
         0     0% 81.11%      2.48s  4.46%  encoding/json.Unmarshal
         0     0% 81.11%      0.48s  0.86%  encoding/json.interfaceEncoder
         0     0% 81.11%      0.31s  0.56%  fmt.Sprintf
         0     0% 81.11%     44.80s 80.53%  github.com/go-chi/chi/v5.(*Mux).ServeHTTP
         0     0% 81.11%     44.75s 80.44%  github.com/go-chi/chi/v5.(*Mux).routeHTTP
         0     0% 81.11%     44.76s 80.46%  github.com/go-chi/chi/v5/middleware.RealIP.func1
         0     0% 81.11%     44.76s 80.46%  github.com/go-chi/chi/v5/middleware.Recoverer.func1
         0     0% 81.11%     44.78s 80.50%  github.com/go-chi/chi/v5/middleware.RequestID.func1
         0     0% 81.11%      0.65s  1.17%  github.com/redis/go-redis/v9.(*Client).Process
         0     0% 81.11%      1.35s  2.43%  github.com/redis/go-redis/v9.(*baseClient)._getConn
         0     0% 81.11%      0.65s  1.17%  github.com/redis/go-redis/v9.(*baseClient)._process
         0     0% 81.11%      0.43s  0.77%  github.com/redis/go-redis/v9.(*baseClient)._process.func1
         0     0% 81.11%      0.65s  1.17%  github.com/redis/go-redis/v9.(*baseClient).process
         0     0% 81.11%     13.49s 24.25%  github.com/redis/go-redis/v9.(*baseClient).processTxPipeline
         0     0% 81.11%      0.65s  1.17%  github.com/redis/go-redis/v9.(*hooksMixin).processHook (inline)
         0     0% 81.11%      0.28s   0.5%  github.com/redis/go-redis/v9.cmdable.Get (inline)
         0     0% 81.11%      0.37s  0.67%  github.com/redis/go-redis/v9.cmdable.Publish (inline)
